카테고리,상품URL,이미지URL,문제텍스트,금칙어
패션의류,https://www.shoppingntmall.com/display/goods/14701141?dispCatSn=90000352,https://img.shoppingntmall.com/display/goods/detail/describe/14701141/proxy/src/https://img.shoppingntmall.com/htmleditor/225/24SS%20ODV%20%EC%8D%B8%EB%A8%B8%20%EC%83%81%ED%95%98%EC%9D%98%20%EC%85%8B%EC%97%85%2B%EB%B2%A0%EC%8A%A4%ED%8A%B81715147905392.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+2400/optimize,쁘 ru mill Be Ho ar  FABRIC  [베스트]  ㆍ등판은 자카드 메쉬  |의셋업]  상히  [  로 요철감을 늘려여름철 착용시 몸에 감기지 않는 SSA  만들어주어  면에 작은 공기 통로를 과  og =  ㆍ 주름진 요철감  물과 피부사이에 공기를 순  르 =  는 효:  환시키  직 직,감기
패션의류,https://www.shoppingntmall.com/display/goods/20176686?dispCatSn=90000352,https://img.shoppingntmall.com/display/goods/detail/describe/20176686/proxy/src/https://img.shoppingntmall.com/htmleditor/925/250225%20%EB%A0%88%EB%93%9C%EC%BA%A0%ED%94%84%20%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%B9%98%20%EB%A0%88%EC%A0%80%20%EC%8A%AC%EB%9E%99%EC%8A%A4%203%EC%A2%85%20%EC%97%AC%20011741307401238.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+1200/optimize,"차별화된 자기만의 세계를 추구하고,  도전을 두려워 하지 않는 사람들을  그리고 합리적인 가격대의 아이템을 선보입니다  2025 SS STRETCH LEISURE SLACKS 3PCS  팬츠 3종 블랙 / 카키그레이 / 네이비  Black                        Khaki Grey                        Navy 블랙               카키그레이              네이비  FABRIC POINT",av
패션의류,https://www.shoppingntmall.com/display/goods/20583464?dispCatSn=90000352,https://img.shoppingntmall.com/display/goods/detail/describe/20583464/proxy/src/https://img.shoppingntmall.com/htmleditor/617/KakaoTalk_20250402_1446058301743575211217.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+1200/optimize,Navy                  Black                   Pink  네이비                    블랙                     핑크  2 PIECE  블라우스 + 이너 25 세트 구성,av
패션의류,https://www.shoppingntmall.com/display/goods/16052656?dispCatSn=90000352,https://img.shoppingntmall.com/display/goods/detail/describe/16052656/proxy/src/https://img.shoppingntmall.com/htmleditor/580/250415%20%EB%A0%88%EB%93%9C%EC%BA%A0%ED%94%84%20%EC%98%AC%20%ED%8D%BC%ED%8F%AC%EC%A6%88%20%ED%8A%B8%EB%9E%99%EC%88%98%ED%8A%B8%20%EC%84%B8%ED%8A%B8%20%EB%82%A8%20011744698722924.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+1200/optimize,"차별화된 자기만의 세계를 추구하고, 전을 두려워 하지 않는 사람들을 기능성과 패션성을 모두 충족히  그리고 합리적인 가격대의 foie 선보입니다;  REDCAMP ALL PURPOSE TRACK SUIT SET  (자켓+팬츠) 블랙+블랙 / 그레이+그레이 / 화이트+네이비  가 4  =              a  Black + Black                  Grey + Grey                 White + Navy 블랙+블랙           그레이 +그레이         화이트+네이비  FABRIC POINT",av
